Ataque,Custo,Custo AP,Tipo,Estilo,Descrição,Aprimoramento,Motor,Ofensivo,Defensivo,Suporte,Utilitario,Code
Chuva Áspera,50,60,rocha,ativa,Escolhe 3 áreas aleatórias inimigas. Cada Pokémon atingido recebe (65% de Atk) como dano normal.,Escolhe 3 áreas aleatórias inimigas. Cada Pokémon atingido recebe (75% de Atk) como dano normal.,Atk,78,0,0,82,226
Fragmento Incisivo,40,50,rocha,alvo,Causa (65% de Atk) como dano normal e aplica Quebrado no alvo.,Causa (75% de Atk) como dano normal e aplica Quebrado no alvo.,Atk,62,28,0,58,227
Pedra Especial,45,55,rocha,alvo,Causa (70% de SpA) + (20% de Atk) como dano especial.,Causa (78% de SpA) + (25% de Atk) como dano especial.,SpA/Atk,68,0,0,20,228
Pedra Dupla,55,65,rocha,alvo,Escolhe até 2 alvos. Causa (75% de Atk) como dano normal em cada alvo. Este ataque não pode ser crítico.,Escolhe até 2 alvos. Causa (85% de Atk) como dano normal em cada alvo. Este ataque não pode ser crítico.,Atk,80,0,0,68,229
Poder Ancião,50,60,rocha,ativa,"O usuário ganha (5% de Mag) em Atk, SpA, Def e SpD.","O usuário ganha (6% de Mag) em Atk, SpA, Def e SpD.",Mag,48,48,45,60,230
Lâmina de Cristal,65,75,rocha,alvo,"Causa (45% de Atk) + (45% de SpA) como dano. Se a SpD do alvo for menor que a Def, o dano é especial e zera variações positivas permanentes de SpD. Caso contrário, o dano é normal e zera variações positivas permanentes de Def.","Causa (50% de Atk) + (50% de SpA) como dano, mantendo a regra de escolher entre SpD e Def e zerar a defesa positiva correspondente.",Atk/SpA,86,42,0,78,231
Escudo de Pedra,45,55,rocha,ativa,"Dobra a Barreira atual do usuário. Se o usuário não tiver Barreira, ganha 10% de Def.","Dobra a Barreira atual do usuário. Se o usuário não tiver Barreira, ganha 12% de Def.",Def/Bar,0,88,35,52,232
Rolagem,65,75,rocha,alvo,"Causa dano em linha baseado em (80% de Def). A cada inimigo atingido, o próximo recebe 25% menos dano baseado em Def. O usuário recebe 8% do dano causado a cada inimigo atingido.","Causa dano em linha baseado em (90% de Def). A redução por inimigo cai para 20%, e o usuário recebe 7% do dano causado.",Def,84,18,0,72,233
Impacto Rochoso,55,65,rocha,alvo,"Causa (130% de Def) como dano normal, mas o usuário perde 10% de Def depois do ataque.","Causa (145% de Def) como dano normal, mas o usuário perde 10% de Def depois do ataque.",Def,82,0,0,28,234
Pedra Colossal,70,80,rocha,alvo,Causa (80% de Atk) como dano normal e remove 1 equipável aleatório do alvo durante a batalha.,Causa (90% de Atk) como dano normal e remove 1 equipável aleatório do alvo durante a batalha.,Atk,78,30,0,90,235
Autodestruição,95,110,rocha,ativa,Causa (150% de Atk) como dano normal a todos os Pokémon adjacentes ao usuário. O usuário recebe 80% do dano causado a si mesmo e ganha Imortal por 1 passo.,Causa (170% de Atk) como dano normal aos adjacentes. O usuário recebe 80% do dano causado a si mesmo e ganha Imortal por 1 passo.,Atk/Vida,96,10,0,88,236
Selar Arcano,35,40,fantasma,alvo,O inimigo perde (10% de Mag do alvo) + (10% da Mag do usuário) em Mag.,O inimigo perde (12% de Mag do alvo) + (10% da Mag do usuário) em Mag.,Mag,28,38,35,58,237
Desorientar,30,35,fantasma,alvo,O inimigo perde (10% de Int do alvo) + (10% da Mag do usuário) em Int.,O inimigo perde (12% de Int do alvo) + (10% da Mag do usuário) em Int.,Mag,12,25,25,58,238
Atravessar,45,55,fantasma,alvo,Causa (40% de SpA) como dano especial e rouba 1 efeito positivo aleatório do alvo.,Causa (50% de SpA) como dano especial e rouba 1 efeito positivo aleatório do alvo.,SpA,48,28,30,88,239
Lambida,35,45,fantasma,alvo,"Causa (65% de Atk) como dano normal. Neste ataque, o Vamp do usuário conta em dobro.","Causa (75% de Atk) como dano normal. Neste ataque, o Vamp do usuário conta em dobro.",Atk/Vamp,62,42,0,38,240
Toque do Medo,35,45,fantasma,alvo,"Causa (40% de SpA) como dano especial. Se o alvo estiver Paralisado, causa +100% de dano.","Causa (48% de SpA) como dano especial. Se o alvo estiver Paralisado, causa +120% de dano.",SpA,66,0,0,58,241
Susto,45,55,fantasma,alvo,"Causa (60% de Atk) como dano normal. Este ataque sempre é crítico se o alvo estiver Dormindo ou se o clima for Névoa. Se for crítico, aplica Paralisado no alvo.","Causa (68% de Atk) como dano normal. Sempre é crítico contra alvo Dormindo ou durante Névoa, e crítico aplica Paralisado.",Atk/CrC,74,0,0,72,242
Maldade,35,40,fantasma,alvo,Aplica 1 efeito negativo aleatório no alvo.,Aplica 1 efeito negativo aleatório no alvo e causa (25% de SpA) como dano especial.,Nenhum,28,45,10,82,243
Golpe Espelhado,50,60,fantasma,alvo,"Causa (75% de SpA) como dano especial. Se o alvo estiver em uma área de mesmo número que a área do usuário, causa +50% de dano.","Causa (85% de SpA) como dano especial. Se o alvo estiver em uma área de mesmo número que a área do usuário, causa +60% de dano.",SpA,78,0,0,62,244
Mão Espectral,65,75,fantasma,alvo,"Causa (70% de SpA) como dano especial e puxa o alvo para a área mais à direita possível da arena dele. Se houver algum Pokémon no caminho, esse Pokémon recebe 120% do dano base deste ataque.",Causa (78% de SpA) como dano especial. Pokémon no caminho recebem 130% do dano base deste ataque.,SpA,84,25,0,90,245
Pulso de Plasma,50,60,fantasma,alvo,"Causa (85% de SpA) como dano especial. Se for crítico, aplica Enfraquecido no alvo.","Causa (95% de SpA) como dano especial. Se for crítico, aplica Enfraquecido no alvo.",SpA/CrC,74,18,0,45,246
Devorador de Pecados,55,65,fantasma,alvo,"Remove todos os efeitos negativos do alvo. Para cada passo removido, o usuário ganha 3 de Vamp permanente, até 30 de Vamp.","Para cada passo removido, o usuário ganha 4 de Vamp permanente, até 36 de Vamp.",Vamp,20,62,45,88,247
Maldição,50,60,fantasma,alvo,Aplica Amaldiçoado no alvo.,Aplica Amaldiçoado no alvo e causa (25% de SpA) como dano especial.,Nenhum,42,28,0,82,248
Jogada de Sorte,35,45,fantasma,alvo,"Tem 70% de chance de não fazer nada. Se funcionar, causa (160% de Atk) como dano normal.","Tem 65% de chance de não fazer nada. Se funcionar, causa (175% de Atk) como dano normal.",Atk,72,0,0,88,249
Ataque Fantasmagórico,65,75,fantasma,alvo,"Causa (85% de SpA) como dano especial. Se o alvo estiver Amaldiçoado, causa +35% de dano. Se o clima for Névoa, causa mais +25% de dano.","Causa (95% de SpA) como dano especial. O bônus contra alvo Amaldiçoado sobe para +40%, e o bônus em Névoa para +30%.",SpA,86,0,0,66,250
Sede de Sangue,30,35,fantasma,ativa,O usuário ganha (25% de Mag) em Vamp.,O usuário ganha (30% de Mag) em Vamp.,Mag,28,42,10,30,251
Explosão Fantasma,70,80,fantasma,alvo,Causa (90% de SpA) como dano especial no alvo principal. Causa 10% do dano causado a todos os inimigos adjacentes e aplica Vampírico apenas nos inimigos adjacentes.,Causa (100% de SpA) como dano especial no alvo principal. O dano aos adjacentes sobe para 15% e aplica Vampírico apenas neles.,SpA,84,22,0,72,252
Golpe Cruel,55,65,fantasma,alvo,"Causa (70% de Atk) como dano normal. Para cada passo de efeito negativo no alvo, causa +3% de dano, considerando no máximo 25 passos.","Causa (78% de Atk) como dano normal. Para cada passo de efeito negativo no alvo, causa +3,5% de dano, considerando no máximo 25 passos.",Atk,82,0,0,68,253
Fantasma,0,0,fantasma,passivo,"O usuário perde 25 de Acurácia e 25 de Amp, mas fica Furtivo permanentemente.","A penalidade cai para -20 de Acurácia e -20 de Amp, mantendo Furtivo permanente.",Nenhum,22,72,12,90,254
Azar,30,35,fantasma,alvo,O inimigo perde (5) + (10% da Mag do usuário) em CrC.,O inimigo perde (6) + (12% da Mag do usuário) em CrC.,Mag,0,38,20,42,255
Escama Mística,25,30,dragao,ativa,O usuário ganha (20% de Mag) + (10% de SpD) em SpD.,O usuário ganha (22% de Mag) + (12% de SpD) em SpD.,Mag/SpD,0,58,15,25,256
Barragem Draconica,45,50,dragao,alvo,O alvo ganha uma barreira equivalente a (18% de Mag) + (15% de SpD).,A barreira sobe para (20% de Mag) + (17% de SpD).,Mag/SpD,0,72,65,25,257
Rugido,25,30,dragao,alvo,O inimigo perde (10% de Atk do alvo) + (10% da Mag do usuário) em Atk.,O inimigo perde (12% de Atk do alvo) + (10% da Mag do usuário) em Atk.,Mag,5,58,40,40,258
Garra do Dragão,60,70,dragao,alvo,"Causa dano usando o melhor caminho contra o alvo: se a Def do alvo for menor que a SpD, causa (85% de Atk) como dano normal e remove 20% da Def; caso contrário, causa (85% de SpA) como dano especial e remove 20% da SpD.","Causa (95% de Atk) ou (95% de SpA), mantendo a escolha pela menor defesa e removendo 22% da defesa escolhida.",Atk/SpA,86,45,0,76,259
Ultraje,35,40,dragao,alvo,"Causa exatamente 27 de dano fixo. Este dano não recebe aumento, redução, crítico, defesa, resistência, fraqueza, Amp ou qualquer outro modificador.","Causa exatamente 31 de dano fixo, sem receber qualquer aumento ou redução.",Nenhum,58,0,0,72,260
Sopro do Dragão,45,55,dragao,alvo,"Causa (70% de SpA) como dano especial e remove 1 efeito positivo aleatório do alvo. Se for crítico, remove 2 efeitos positivos aleatórios.","Causa (78% de SpA) como dano especial e remove 1 efeito positivo aleatório. Se for crítico, remove 2.",SpA/CrC,70,30,0,72,261
Tiro de Escamas,40,50,dragao,alvo,"Causa (55% de Atk) como dano normal. O alvo ganha 2% de Def, mas este ataque causa +15% de dano para cada vez que Tiro de Escamas já foi usado nesse alvo.","Causa (62% de Atk) como dano normal. O alvo ganha 2% de Def, mas o bônus por uso anterior sobe para +18% de dano.",Atk,74,0,0,66,262
Sem Fraquezas,45,55,dragao,ativa,"O usuário ganha 25% no seu pior atributo regular, exceto Vida.","O usuário ganha 30% no seu pior atributo regular, exceto Vida.",Nenhum,45,45,40,68,263
Juramento do Dracomante,70,80,dragao,ativa,"O usuário ganha Imortal por 1 passo e uma barreira equivalente a (120% de Mag). Se for crítico, a barreira usa (150% de Mag).","O usuário ganha Imortal por 1 passo e uma barreira equivalente a (135% de Mag). Se for crítico, a barreira usa (165% de Mag).",Mag/CrC,10,95,45,72,264
Golpe Destrutivo,55,65,dragao,alvo,"Causa (90% de Atk) como dano normal. Se for crítico, transforma a área do alvo em Destruída.","Causa (100% de Atk) como dano normal. Se for crítico, transforma a área do alvo em Destruída.",Atk/CrC,76,10,0,62,265
Investida Dracônica,60,70,dragao,alvo,"Causa (110% de Atk) como dano normal. O usuário recebe 20% do dano causado. Se errar, recebe dano equivalente a 30% do dano base deste ataque.","Causa (122% de Atk) como dano normal. O usuário recebe 18% do dano causado. Se errar, recebe 28% do dano base.",Atk,86,0,0,38,266
Território Sagrado,45,40,dragao,alvo,Escolhe uma área aliada e transforma essa área em Sagrada.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,5,55,65,88,267
Lança Etérea,55,65,dragao,alvo,Causa (110% de SpD) como dano especial.,Causa (125% de SpD) como dano especial.,SpD,78,10,0,25,268
Bola Sombria,60,70,sombrio,alvo,Causa (80% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (90% de SpA) como dano especial. O dano aos inimigos adjacentes permanece em 50% do dano causado.,SpA,76,0,0,60,269
Nas Sombras,50,45,sombrio,ativa,O usuário fica Furtivo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,10,65,15,80,270
Confronto Trevoso,35,40,sombrio,alvo,Causa (55% de Atk) como dano normal. O usuário e o alvo recebem Provocando.,Causa (65% de Atk) como dano normal. O usuário e o alvo recebem Provocando.,Atk,48,45,18,58,271
Vingança,50,60,sombrio,alvo,"Causa (75% de Atk) como dano normal. Se o alvo já atacou o usuário neste turno, causa +65% de dano.","Causa (82% de Atk) como dano normal. Se o alvo já atacou o usuário neste turno, causa +75% de dano.",Atk,82,20,0,58,272
Correntes Eternas,55,65,sombrio,alvo,Aplica Enraizado no inimigo com força equivalente a (200% de Mag).,Aplica Enraizado no inimigo com força equivalente a (230% de Mag).,Mag,18,55,20,86,273
Névoa Sombria,45,40,sombrio,ativa,Muda o clima para Névoa.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,30,25,58,88,274
Expurgo dos Fracos,80,95,sombrio,ativa,"O Pokémon em campo com menor Vida base perde 50% da Vida atual. Se for crítico, perde 55% da Vida atual.","O Pokémon em campo com menor Vida base perde 55% da Vida atual. Se for crítico, perde 60% da Vida atual.",CrC,90,0,0,78,275
Olhar Cruel,40,50,sombrio,alvo,Aumenta em 1 passo a duração de todos os efeitos negativos do alvo.,Aumenta em 2 passos a duração do efeito negativo com maior duração do alvo e em 1 passo os demais efeitos negativos.,Nenhum,18,48,20,82,276
Execução Massiva,85,100,sombrio,alvo,Escolhe até 3 áreas. Causa (45% de Atk) como dano normal em cada alvo e executa inimigos com menos de 10% da Vida.,Causa (55% de Atk) como dano normal em cada alvo e executa inimigos com menos de 12% da Vida.,Atk,92,0,0,86,277
Corredor Escuro,70,80,sombrio,alvo,Escolhe uma linha. Todos os efeitos negativos dos Pokémon nessa linha são compartilhados entre os Pokémon atingidos.,Escolhe uma linha. Todos os efeitos negativos dos Pokémon nessa linha são compartilhados e ganham +1 passo.,Nenhum,35,55,20,96,278
Golpe Noturno,55,65,sombrio,alvo,"Causa (80% de Atk) como dano normal. Se o clima for Noite Densa, causa +30% de dano. Se o alvo estiver Furtivo, causa mais +30% de dano.",Causa (88% de Atk) como dano normal. Os bônus por Noite Densa e alvo Furtivo sobem para +35% cada.,Atk,86,0,0,62,279
Dominação,60,70,sombrio,alvo,"Causa (65% de Atk) como dano normal. Para cada atributo regular do usuário maior que o mesmo atributo do alvo, causa +8% de dano, até +64%.","Causa (72% de Atk) como dano normal. O bônus por atributo superior sobe para +9%, até +72%.",Atk,86,0,0,58,280
Inveja,65,75,sombrio,alvo,"Usa apenas 25% da Acurácia do usuário, mas ganha +25% da Acurácia para cada efeito positivo do alvo. Causa (125% de SpA) como dano especial.","Usa apenas 25% da Acurácia do usuário, ganha +25% por efeito positivo do alvo e causa (140% de SpA) como dano especial.",SpA/Acuracia,88,0,0,82,281
Breu,60,70,sombrio,ativa,"Muda o clima para Noite Densa. O usuário e todos os aliados adjacentes recebem Furtivo com força equivalente a (50% de Mag). Se o clima já for Noite Densa, usa (80% de Mag).","Muda o clima para Noite Densa. O usuário e aliados adjacentes recebem Furtivo com força equivalente a (60% de Mag), ou (90% de Mag) se já for Noite Densa.",Mag,28,62,72,92,282
Adaga das Trevas,50,60,sombrio,alvo,"Causa (70% de Atk) como dano normal e aumenta em 15% todas as reduções permanentes de atributos do alvo. Se for crítico, aumenta em 25%.","Causa (78% de Atk) como dano normal e aumenta em 18% todas as reduções permanentes de atributos do alvo. Se for crítico, aumenta em 28%.",Atk/CrC,74,50,0,82,283
Sombra,30,35,sombrio,ativa,O usuário ganha (25% de Mag) em CrD.,O usuário ganha (30% de Mag) em CrD.,Mag,55,0,10,25,284
Silenciar,35,40,sombrio,alvo,O inimigo perde (5) + (10% da Mag do usuário) em Amp.,O inimigo perde (7) + (12% da Mag do usuário) em Amp.,Mag,5,48,25,45,285
Ferrugem,25,30,metal,alvo,O inimigo perde (10% de Def do alvo) + (10% da Mag do usuário) em Def.,O inimigo perde (12% de Def do alvo) + (10% da Mag do usuário) em Def.,Mag,48,0,0,38,286
Afiar,35,40,metal,ativa,O usuário ganha (20% de Mag) + (10% de Per) em Per.,O usuário ganha (22% de Mag) + (12% de Per) em Per.,Mag/Per,48,0,10,30,287
Metalurgia,50,60,metal,ativa,"Todos os aliados adjacentes perdem 4% da Vida Máxima e ganham Per equivalente a (15% de Mag do usuário). Se for crítico, usam (20% de Mag).","Todos os aliados adjacentes perdem 3% da Vida Máxima e ganham Per equivalente a (18% de Mag), ou (23% de Mag) se for crítico.",Mag,35,20,72,68,288
Corte e Recorte,50,60,metal,alvo,Causa (55% de Atk) + (25% de Per) + (25% de Vamp) como dano normal.,Causa (62% de Atk) + (30% de Per) + (30% de Vamp) como dano normal.,Atk/Per/Vamp,76,18,0,42,289
Barreira Ofensiva,45,55,metal,alvo,"O usuário ganha uma barreira equivalente a (15% de Mag) e causa 80% da Barreira atual do usuário como dano normal, limitado a 120% de Mag.","O usuário ganha uma barreira equivalente a (18% de Mag) e causa 90% da Barreira atual como dano normal, limitado a 135% de Mag.",Mag/Bar,70,58,20,62,290
Ímã,60,70,metal,alvo,"Causa (65% de SpA) como dano especial em linha e puxa todos os inimigos atingidos 1 área para frente. Se algum inimigo já estiver na última área possível, recebe +30% de dano.","Causa (72% de SpA) como dano especial em linha. Se o inimigo já estiver na última área possível, recebe +40% de dano.",SpA,78,20,0,88,291
Impacto de Aço,60,70,metal,alvo,Causa (55% de Def) + (55% de SpD) como dano normal.,Causa (62% de Def) + (62% de SpD) como dano normal.,Def/SpD,82,12,0,28,292
Cabeçada de Ferro,50,60,metal,alvo,Causa (115% de Atk) como dano normal. Este ataque não usa Per no dano.,Causa (130% de Atk) como dano normal. Este ataque não usa Per no dano.,Atk,76,0,0,12,293
Cauda de Ferro,55,65,metal,alvo,Causa (80% de Atk) como dano normal e remove 15% da Def do alvo.,Causa (90% de Atk) como dano normal e remove 18% da Def do alvo.,Atk,78,42,0,58,294
Britadeira,45,55,metal,alvo,Causa (160% de Per) como dano normal.,Causa (180% de Per) como dano normal.,Per,74,0,0,28,295
Super Fincada,50,60,metal,alvo,Causa (60% de Atk) + (25% de Per) como dano normal. O alvo perde permanentemente Def e SpD equivalentes a (25% de Per do usuário).,Causa (68% de Atk) + (30% de Per) como dano normal. A perda permanente de Def e SpD sobe para (30% de Per).,Atk/Per,76,55,0,72,296
Liga Metálica,65,75,metal,alvo,"Escolhe até 2 áreas. Causa (65% de Atk) + (35% de Def) como dano normal nos alvos. Soma a Def dos alvos atingidos; se a Def do usuário for maior que essa soma, causa +45% de dano.","Causa (72% de Atk) + (40% de Def) como dano normal. Se a Def do usuário for maior que a soma da Def dos alvos, causa +55% de dano.",Atk/Def,86,18,0,72,297
Treinamento de Metal,30,35,metal,ativa,O usuário ganha aleatoriamente +12 de CrD ou +12 de CrC.,O usuário ganha aleatoriamente +15 de CrD ou +15 de CrC.,Nenhum,48,0,20,42,298
Benção,55,50,fada,alvo,O alvo fica Abençoado.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,0,65,78,35,299
Barragem Arcana,40,45,fada,alvo,O alvo ganha uma barreira equivalente a (20% de Mag) + (12% de SpA).,A barreira sobe para (22% de Mag) + (14% de SpA).,Mag/SpA,0,66,62,25,300
Canalizar,35,40,fada,ativa,O usuário ganha (20% de Mag) + (10% de Mag) em Mag.,O usuário ganha (25% de Mag) + (12% de Mag) em Mag.,Mag,40,28,38,55,301
Amolecer,30,35,fada,alvo,O inimigo perde (5) + (10% da Mag do usuário) em CrD.,O inimigo perde (6) + (12% da Mag do usuário) em CrD.,Mag,0,38,20,42,302
Brilho,40,50,fada,ativa,"Não pode mirar. Atinge apenas inimigos Furtivos, causando (80% de Mag) como dano especial e removendo Furtivo dos alvos atingidos.",Causa (90% de Mag) como dano especial e remove Furtivo dos inimigos atingidos.,Mag,58,28,15,88,303
Salvamento,55,65,fada,ativa,Concede Regeneração e Imune ao aliado com menor porcentagem de Vida.,"Concede Regeneração, Imune e uma barreira equivalente a (20% de Mag) ao aliado com menor porcentagem de Vida.",Mag,0,78,88,72,304
Toque Fabuloso,45,55,fada,alvo,"Causa (75% de SpA) como dano especial. Se o alvo ou o usuário estiver Encantado, Abençoado ou Amplificado, este ataque sempre é crítico.","Causa (85% de SpA) como dano especial. Se o alvo ou o usuário estiver Encantado, Abençoado ou Amplificado, sempre é crítico.",SpA/CrC,74,0,0,62,305
Corte das Fadas,70,80,fada,alvo,"Causa dano especial equivalente a 50% da soma da Mag de todos os aliados. Para cada aliado tipo Fada, causa +10% dessa soma como dano extra.","Causa dano especial equivalente a 55% da soma da Mag dos aliados. Para cada aliado tipo Fada, causa +12% dessa soma como dano extra.",Mag,88,0,30,70,306
Chuva Cintilante,65,75,fada,ativa,"Aplica Furtivo em todos os aliados, exceto no usuário, e cura cada aliado afetado em 10% da Vida perdida.","Aplica Furtivo em todos os aliados, exceto no usuário, e cura cada aliado afetado em 13% da Vida perdida.",Mag/Vida,0,70,86,82,307
Vento Fada,55,65,fada,alvo,Causa (70% de SpA) + (20% de Mag) como dano especial em linha.,Causa (78% de SpA) + (25% de Mag) como dano especial em linha.,SpA/Mag,76,0,0,58,308
Bondade,35,40,fada,alvo,Aplica 1 efeito positivo aleatório no alvo.,Aplica 1 efeito positivo aleatório no alvo e cura (15% de Mag).,Mag,0,48,78,65,309
Luz Purificadora,55,65,fada,ativa,Remove todos os efeitos negativos do usuário e dos aliados adjacentes.,"Remove todos os efeitos negativos do usuário e dos aliados adjacentes, e cura cada alvo afetado em (20% de Mag).",Mag,0,78,88,86,310
Ataque de Positividade,55,65,fada,alvo,"Causa (65% de SpA) como dano especial. Para cada passo de efeito positivo no usuário, causa +3% de dano, considerando no máximo 25 passos.","Causa (72% de SpA) como dano especial. Para cada passo de efeito positivo no usuário, causa +3,5% de dano, considerando no máximo 25 passos.",SpA,82,0,20,68,311
Encanto,40,35,fada,alvo,Aplica Encantado no alvo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,5,45,65,78,312
Som Atordoante,45,40,sonoro,alvo,Aplica Atordoado no inimigo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,28,30,20,72,313
Voz Desarmadora,40,45,sonoro,alvo,Tem 10% de chance natural de errar. Causa (55% de SpA) como dano especial e faz o alvo recuar.,Causa (65% de SpA) como dano especial e faz o alvo recuar. A chance natural de errar cai para 5%.,SpA,58,20,0,76,314
Grito,55,65,sonoro,alvo,"Causa (60% de SpA) como dano especial em linha. Se algum acerto for crítico, o alvo atingido criticamente perde 3 de Amp.",Causa (68% de SpA) como dano especial em linha. Alvos atingidos criticamente perdem 4 de Amp.,SpA/CrC,76,28,0,72,315
Ataque Hipersônico,60,70,sonoro,alvo,"Sempre age antes de qualquer outra ação, inclusive antes de Ataque Rápido. Causa (70% de SpA) + (25% de Vel) como dano especial.",Sempre age antes de qualquer outra ação. Causa (78% de SpA) + (30% de Vel) como dano especial.,SpA/Vel,84,0,0,92,316
Canto Prolongador,45,55,sonoro,alvo,Aumenta em 50% o número de passos de todos os efeitos do alvo.,Aumenta em 60% o número de passos de todos os efeitos do alvo.,Nenhum,10,45,55,88,317
Melodia Anticlimática,35,30,sonoro,ativa,Remove o clima atual da batalha.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,5,25,45,90,318
Volume Máximo,75,90,sonoro,ativa,Causa (115% de SpA) como dano especial no alvo. Aliados adjacentes ao usuário recebem 25% do dano causado.,Causa (130% de SpA) como dano especial no alvo. Aliados adjacentes ao usuário recebem 20% do dano causado.,SpA,90,0,0,48,319
Flutuante,0,0,cosmico,passivo,O usuário recebe Flutuando de forma permanente.,A redução de acurácia contra ataques normais sobe de 40% para 45%.,Nenhum,0,72,20,82,320
Flutuar,40,35,cosmico,ativa,O usuário fica Flutuando.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,0,58,15,65,321
Raio Cósmico,75,85,cosmico,alvo,"Causa (100% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (110% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (12% de SpA) do dano deste ataque.",SpA,84,0,0,55,322
Gravidade,75,85,cosmico,ativa,"Causa (25% de SpA) como dano especial a todos os Pokémon da arena. Contra alvos Flutuando ou Voando, causa +200% de dano e remove Flutuando ou Voando.","Causa (30% de SpA) como dano especial a todos os Pokémon da arena. Contra alvos Flutuando ou Voando, causa +230% de dano e remove Flutuando ou Voando.",SpA,86,25,0,94,323
Estrela Cadente,45,55,cosmico,ativa,"O usuário ganha aleatoriamente +25% de SpD, SpA ou Mag, ou +25 de CrC. Se for crítico, o ganho sobe para +30% ou +30 de CrC.","O usuário ganha aleatoriamente +28% de SpD, SpA ou Mag, ou +28 de CrC. Se for crítico, o ganho sobe para +33% ou +33 de CrC.",CrC,58,38,45,72,324
Radiação,55,65,cosmico,alvo,"O alvo perde 10% da Vida atual. Se o alvo estiver Envenenado ou se o usuário estiver Flutuando, perde 15% da Vida atual. Se for crítico, perde +5% da Vida atual.","O alvo perde 12% da Vida atual. Se o alvo estiver Envenenado ou se o usuário estiver Flutuando, perde 18%. Se for crítico, perde +5%.",CrC,78,0,0,68,325
Dança Gravitacional,45,40,cosmico,ativa,Muda o clima para Gravidade Anômala.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,35,25,62,90,326
Supernova,110,130,cosmico,ativa,Causa (170% de SpA) como dano especial no alvo. O usuário fica Descarregado. Este ataque não pode ser crítico.,Causa (190% de SpA) como dano especial no alvo. O usuário fica Descarregado. Este ataque não pode ser crítico.,SpA,98,0,0,58,327
Explosão Lunar,80,95,cosmico,alvo,Causa (85% de SpA) como dano especial no alvo principal e causa 120% do dano causado a todos os inimigos adjacentes ao alvo.,Causa (95% de SpA) como dano especial no alvo principal e causa 120% do dano causado a todos os inimigos adjacentes ao alvo.,SpA,94,0,0,82,328
